Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type,Latitude,Longitude,Maximum_Monthly_Liters,Avg_Monthly_Volume,Distributor_ID,geometry,Competitor_Density,Decay_POI_Score,Adjusted_Cost_Per_Liter,Latent_Volume,Total_Investment_Cost,Selected
OUT_00521,Small,0,SMMT,6.938218,79.867809,3594.025129514586,49.25260267267715,DIST_W_02,POINT (374924.0099652535 767068.3844298151),9.0,14.762535976672893,31.720784062916913,3544.7725268419085,112442.96387611252,1.0
OUT_00876,Small,0,Bakry,6.891608,79.8649,3594.025129514586,38.27366392091745,DIST_W_02,POINT (374590.31060876575 761915.6087147165),13.0,16.87733167389098,39.155731558212224,3555.7514655936684,139228.04987450538,1.0
OUT_00877,Large,4,Eatery,6.920575,79.859823,3594.025129514586,551.1915431977257,DIST_W_01,POINT (374036.97895094927 765119.7541577937),14.0,22.232073528346366,32.282955676982326,3042.8335863168604,98231.66179950038,1.0
OUT_01244,Small,0,Pharmacy,6.925032,79.861416,3594.025129514586,52.77483744277353,DIST_W_03,POINT (374214.17155693535 765612.1317546066),14.0,19.022882892856444,37.457143609803424,3541.2502920718125,132645.1207483922,1.0
OUT_01660,Medium,1,Pharmacy,6.921382,79.875976,3594.025129514586,122.52198893599225,DIST_W_03,POINT (375821.9458702346 765204.7319605978),15.0,19.547285767182384,38.934582847810496,3471.5031405785935,135161.52663329156,1.0
OUT_01877,Large,2,Bakery,6.877923,79.874963,3594.025129514586,521.2182695852814,DIST_W_03,POINT (375698.6832716925 760399.8696408082),9.0,14.658850337641107,31.930824372086143,3072.8068599293047,98117.25617374413,1.0
OUT_01878,Large,3,Hotel,6.914363,79.854701,3594.025129514586,513.8172505822772,DIST_W_03,POINT (373469.38984397374 764434.2675840699),13.0,26.919377431132197,25.072192305385993,3080.2078789323086,77227.56428115594,1.0
OUT_01886,Small,0,Grocery,6.909625,79.858198,3594.025129514586,41.39567416838399,DIST_W_01,POINT (373854.52576382033 763909.4698404004),16.0,20.718603700919736,39.13695427685364,3552.6294553462017,139039.09655648776,1.0
OUT_01932,Medium,1,Eatery,6.922974,79.867398,3594.025129514586,128.59858705724128,DIST_W_02,POINT (374874.579051177 765383.0045893497),16.0,25.18519838597932,32.461086888504404,3465.4265424573446,112491.51210043726,1.0
OUT_01997,Large,3,Bakery,6.93577,79.844951,3594.025129514586,502.7555879657094,DIST_W_03,POINT (372397.838969274 766803.803672626),8.0,17.033954858285043,24.95292926793947,3091.2695415488765,77136.23021840479,1.0
OUT_02135,Medium,2,Eatery,6.93696,79.85811,3594.025129514586,143.52662701139732,DIST_W_02,POINT (373852.06405732525 766931.8595442091),10.0,17.078407762009334,30.42303322507147,3450.4985025031883,104974.63058471386,1.0
OUT_02276,Small,0,Eatery,6.916426,79.859301,3594.025129514586,35.30986328252694,DIST_W_01,POINT (373978.20235200843 764661.1476478787),12.0,23.792049261230098,26.218082787390735,3558.715266232059,93302.69146682338,1.0
